title,address,city,state,postal_code,price,facts and features,url,bed,bath,sqft,property_type
House For Sale,2709 Jackson St,San Francisco,CA,94115,6895000.0,"7 bds , 6 ba , 6,187 sqft",https://www.zillow.com/homedetails/2709-Jackson-St-San-Francisco-CA-94115/15081212_zpid/,7.0,6.0,6187.0,house
Condo For Sale,2238 Divisadero St,San Francisco,CA,94115,1795000.0,"3 bds , 2 ba , 1,790 sqft",https://www.zillow.com/homedetails/2238-Divisadero-St-San-Francisco-CA-94115/53153245_zpid/,3.0,2.0,1790.0,condo
Condo For Sale,2529 Post St,San Francisco,CA,94115,1095000.0,"3 bds , 1 ba , 1,510 sqft",https://www.zillow.com/homedetails/2529-Post-St-San-Francisco-CA-94115/15083748_zpid/,3.0,1.0,1510.0,condo
Co-op For Sale,45 Lottie Bennett Ln APT 1,San Francisco,CA,94115,539000.0,"2 bds , 1 ba , 840 sqft",https://www.zillow.com/homedetails/45-Lottie-Bennett-Ln-APT-1-San-Francisco-CA-94115/64972009_zpid/,2.0,1.0,840.0,coop
Condo For Sale,1288 Mcallister St APT 302,San Francisco,CA,94115,1499000.0,"2 bds , 2 ba , 1,300 sqft",https://www.zillow.com/homedetails/1288-Mcallister-St-APT-302-San-Francisco-CA-94115/15078068_zpid/,2.0,2.0,1300.0,condo
Coming Soon,2878 Jackson St,San Francisco,CA,94115,1399000.0,"2 bds , 1 ba , 1,360 sqft",https://www.zillow.com/homedetails/2878-Jackson-St-San-Francisco-CA-94115/2090938023_zpid/,2.0,1.0,1360.0,coming
Condo For Sale,1828 Eddy St UNIT 104,San Francisco,CA,94115,979000.0,"2 bds , 2 ba , 926 sqft",https://www.zillow.com/homedetails/1828-Eddy-St-UNIT-104-San-Francisco-CA-94115/2090941875_zpid/,2.0,2.0,926.0,condo
Apartment For Sale,2060 Divisadero St,San Francisco,CA,94115,5995000.0,"Studio , -- ba , 4,809 sqft",https://www.zillow.com/homedetails/2060-Divisadero-St-San-Francisco-CA-94115/2090950307_zpid/,0.0,1.9903492647058822,4809.0,apartment
New Construction,51 Innes Ct # BVC26R,San Francisco,CA,94124,1005000.0,"2 bds , 2 ba , 1,080+ sqft",https://www.zillow.com/community/san-francisco-shipyard-monarch/2093186605_zpid/,2.0,2.0,1080.0,new
House For Sale,74 Crane St,San Francisco,CA,94124,583000.0,"1 bd , 1 ba , 800 sqft",https://www.zillow.com/homedetails/74-Crane-St-San-Francisco-CA-94124/15159533_zpid/,1.0,1.0,800.0,house
House For Sale,1874 Donner Ave,San Francisco,CA,94124,749000.0,"2 bds , 1 ba , 900 sqft",https://www.zillow.com/homedetails/1874-Donner-Ave-San-Francisco-CA-94124/15159254_zpid/,2.0,1.0,900.0,house
House For Sale,1520 Thomas Ave,San Francisco,CA,94124,759000.0,"4 bds , 3 ba , 1,590 sqft",https://www.zillow.com/homedetails/1520-Thomas-Ave-San-Francisco-CA-94124/15157680_zpid/,4.0,3.0,1590.0,house
House For Sale,62 Lucy St,San Francisco,CA,94124,699000.0,"3 bds , 1 ba , 1,024 sqft",https://www.zillow.com/homedetails/62-Lucy-St-San-Francisco-CA-94124/15158874_zpid/,3.0,1.0,1024.0,house
New Construction,11 Innes Ct # 5OSFC9,San Francisco,CA,94124,925000.0,"2 bds , 2 ba , 1,342+ sqft",https://www.zillow.com/community/san-francisco-shipyard-engel/2092685927_zpid/,2.0,2.0,1342.0,new
